Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Seller Type,Charging Type,Date Listed,Source
MG,MG 4 EV,2024,26607.209984064677,48256.0,New,Phnom Penh,White,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,14-04-2024,Synthetic (New Formula)
Avatr,Avatr 11,2025,64079.902607712815,11209.0,New,Phnom Penh,Blue,90/116,555-700,230,3.9,Authorized Dealer,GB-T/CCS2,18-08-2022,Synthetic (New Formula)
Tesla,Tesla Model 3,2024,50383.76210165056,40788.0,Good,Siem Reap,Silver,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,23-03-2020,Synthetic (New Formula)
Zeekr,Zeekr 001,2023,76225.6580601491,14926.0,Like New,Phnom Penh,Green,86/100,560-620,200,3.3,Private,GB-T/CCS2,22-11-2023,Synthetic (New Formula)
VinFast,VinFast VF 8,2023,42884.88574179022,32310.0,Excellent,Phnom Penh,Grey,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,11/2/2023,Synthetic (New Formula)
MG,MG 5,2023,23117.151188440934,10197.0,New,Phnom Penh,Black,61.1,403,130,7.7,Dealer,GB-T/CCS2,1/5/2023,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2023,56070.85410673131,24075.0,Good,Phnom Penh,Red,53/77.4,429-614,151,8.1,Dealer,GB-T/CCS2,23-02-2023,Synthetic (New Formula)
MG,MG 5,2024,21960.363766894705,23722.0,Excellent,Siem Reap,Black,61.1,403,130,7.7,Authorized Dealer,GB-T/CCS2,9/5/2025,Synthetic (New Formula)
MG,MG ZS EV,2023,33363.75958575085,52100.0,New,Phnom Penh,White,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,21-01-2022,Synthetic (New Formula)
BYD,BYD M9,2023,61089.3723202137,3912.0,New,Phnom Penh,Black,52,180 PHEV,180,,Private,GB-T/CCS2,4/7/2025,Synthetic (New Formula)
Tesla,Tesla Model 3,2022,46689.8814951337,7288.0,New,Phnom Penh,Black,60/82,430-576,208,6.1,Dealer,GB-T/CCS2,5/5/2021,Synthetic (New Formula)
Nissan,Nissan Leaf,2024,29876.682404602434,23712.0,New,Siem Reap,Silver,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,13-08-2024,Synthetic (New Formula)
MG,MG ZS EV,2023,32801.88930306562,39039.0,New,Siem Reap,White,50.3/72.6,320-440,115,8.6,Authorized Dealer,GB-T/CCS2,14-09-2023,Synthetic (New Formula)
BYD,BYD Dolphin,2024,29636.228285536123,56524.0,Like New,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,3/2/2022,Synthetic (New Formula)
Nissan,Nissan Leaf,2025,27927.358466157573,1042.0,Excellent,Kep,Silver,40/62,240-385,110,7.0,Private,GB-T/CCS2,27-01-2021,Synthetic (New Formula)
Zeekr,Zeekr X,2022,55917.41751946391,4164.0,Excellent,Phnom Penh,Red,66,440,200,5.6,Authorized Dealer,GB-T/CCS2,2/6/2023,Synthetic (New Formula)
Kia,Kia EV6,2024,49399.20944801547,4425.0,Excellent,Phnom Penh,Silver,77.4,484,168,7.1,Dealer,GB-T/CCS2,14-12-2022,Synthetic (New Formula)
BYD,BYD Atto 2,2024,22802.02054953708,14170.0,Fair,Phnom Penh,Cosmos Black,45.1,312-401,130,7.9,Authorized Dealer,GB-T/CCS2,14-06-2024,Synthetic (New Formula)
BYD,BYD Seal,2023,40872.906240658725,39303.0,New,Phnom Penh,Green,61.4/82.5,400-550,150,3.8,Dealer,GB-T/CCS2,19-01-2024,Synthetic (New Formula)
BYD,BYD M9,2024,60807.2840888539,12480.0,Excellent,Phnom Penh,Blue,52,180 PHEV,180,,Authorized Dealer,GB-T/CCS2,11/4/2025,Synthetic (New Formula)
VinFast,VinFast VF 8,2023,42876.64189512063,0.0,Excellent,Phnom Penh,Silver,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,9/8/2023,Synthetic (New Formula)
BYD,BYD Atto 3,2021,30984.080129818678,4895.0,New,Battambang,Grey,50/60.5,340-420,150,7.3,Dealer,GB-T/CCS2,14-12-2022,Synthetic (New Formula)
VinFast,VinFast VF 6,2024,25851.76189688075,11304.0,Like New,Sihanoukville,White,59.6,399,110,,Private,GB-T/CCS2,11/12/2023,Synthetic (New Formula)
Zeekr,Zeekr 001,2024,74340.1269835507,14235.0,New,Phnom Penh,Grey,86/100,560-620,200,3.3,Dealer,GB-T/CCS2,20-09-2022,Synthetic (New Formula)
Nissan,Nissan Leaf,2022,26566.945629120255,975.0,Like New,Battambang,Black,40/62,240-385,110,7.0,Private,GB-T/CCS2,26-02-2022,Synthetic (New Formula)
Tesla,Tesla Model Y,2023,60707.80631698523,12265.0,Fair,Phnom Penh,Green,60/75/82,430-600,220,6.9,Authorized Dealer,GB-T/CCS2,14-05-2024,Synthetic (New Formula)
VinFast,VinFast VF 8,2024,46271.574072743184,37296.0,Like New,Kampong Cham,Blue,82/87.5,420-500,150,5.5,Dealer,GB-T/CCS2,12/5/2025,Synthetic (New Formula)
VinFast,VinFast VF 6,2024,26198.188977870333,18496.0,New,Kratie,Red,59.6,399,110,,Authorized Dealer,GB-T/CCS2,28-06-2022,Synthetic (New Formula)
AION,AION V,2024,38784.86183444726,3468.0,New,Phnom Penh,White,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,1/8/2025,Synthetic (New Formula)
MG,MG 5,2025,26150.684743013742,72513.0,Good,Phnom Penh,Black,61.1,403,130,7.7,Dealer,GB-T/CCS2,1/5/2023,Synthetic (New Formula)
AITO,AITO M5,2024,48478.971654915214,33490.0,Excellent,Phnom Penh,Red,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,13-01-2024,Synthetic (New Formula)
BYD,BYD Atto 2,2023,25221.19293216675,22088.0,Fair,Phnom Penh,Silver,45.1,312-401,130,7.9,Dealer,GB-T/CCS2,12/9/2024,Synthetic (New Formula)
XPeng,XPeng G6,2024,49615.682512354666,28730.0,Excellent,Phnom Penh,Grey,66/87.5,435-570,190,6.2,Private,GB-T/CCS2,5/7/2025,Synthetic (New Formula)
Zeekr,Zeekr 001,2024,72993.47810797334,4240.0,New,Phnom Penh,Grey,86/100,560-620,200,3.3,Dealer,GB-T/CCS2,20-09-2022,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2024,56103.98890232099,39865.0,Excellent,Phnom Penh,Silver,53/77.4,429-614,151,8.1,Authorized Dealer,GB-T/CCS2,21-01-2025,Synthetic (New Formula)
MG,MG 5,2025,20331.1231578176,17616.0,New,Kep,Red,61.1,403,130,7.7,Dealer,GB-T/CCS2,23-09-2020,Synthetic (New Formula)
VinFast,VinFast VF 6,2024,25823.8794594761,24465.0,Good,Sihanoukville,Black,59.6,399,110,,Private,GB-T/CCS2,21-11-2024,Synthetic (New Formula)
BMW,BMW iX1,2024,58411.782359041266,17238.0,Good,Siem Reap,Black,64.7,417,150,8.6,Authorized Dealer,GB-T/CCS2,14-05-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2023,47992.10893382971,20102.0,New,Kampong Cham,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,5/8/2021,Synthetic (New Formula)
BYD,BYD Atto 3,2025,29087.47984874767,991.0,Good,Phnom Penh,White,50/60.5,340-420,150,7.3,Private,GB-T/CCS2,9/11/2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2024,50372.83969920605,43350.0,Good,Kampong Cham,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,5/8/2021,Synthetic (New Formula)
BMW,BMW iX1,2025,56835.313854532236,5760.0,Like New,Phnom Penh,Black,64.7,417,150,8.6,Authorized Dealer,GB-T/CCS2,23-08-2022,Synthetic (New Formula)
MG,MG 5,2025,20768.17452094865,4152.0,Good,Phnom Penh,Black,61.1,403,130,7.7,Dealer,GB-T/CCS2,5/9/2023,Synthetic (New Formula)
Nissan,Nissan Leaf,2024,29676.572104158517,20832.0,Excellent,Siem Reap,Silver,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,13-08-2024,Synthetic (New Formula)
BYD,BYD Dolphin,2025,25231.12101104109,19362.0,Excellent,Sihanoukville,Cosmos Black,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,18-08-2025,Synthetic (New Formula)
BYD,BYD Sealion 6,2022,48351.506964280736,3704.0,New,Phnom Penh,White,18.3,80-100 PHEV,145,8.5,Dealer,GB-T/CCS2,10/6/2023,Synthetic (New Formula)
AITO,AITO M5,2021,46395.67736516263,14235.0,New,Kep,Cosmos Black,40,200 PHEV,200,4.8,Dealer,GB-T/CCS2,10/12/2022,Synthetic (New Formula)
Avatr,Avatr 11,2022,68454.09169246527,10538.0,Like New,Phnom Penh,Cosmos Black,90/116,555-700,230,3.9,Private,GB-T/CCS2,15-05-2023,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2025,54621.22220602687,15674.0,Like New,Kampong Cham,Grey,53/77.4,429-614,151,8.1,Private,GB-T/CCS2,25-08-2025,Synthetic (New Formula)
VinFast,VinFast VF 9,2022,76492.49643472894,29400.0,Good,Phnom Penh,Grey,123,438,300,6.5,Private,GB-T/CCS2,2/1/2025,Synthetic (New Formula)
Denza,Denza D9,2024,81053.9778287631,5755.0,Like New,Phnom Penh,Blue,103,600,230,6.9,Dealer,GB-T/CCS2,8/10/2024,Synthetic (New Formula)
AION,AION V,2020,43299.01862452737,16966.0,Good,Phnom Penh,Silver,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,7/6/2024,Synthetic (New Formula)
Nissan,Nissan Leaf,2024,28742.290285283492,0.0,New,Phnom Penh,Grey,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,10/4/2021,Synthetic (New Formula)
Zeekr,Zeekr 001,2022,78738.89248721668,8224.0,Like New,Preah Vihear,Silver,86/100,560-620,200,3.3,Authorized Dealer,GB-T/CCS2,5/6/2025,Synthetic (New Formula)
Kia,Kia EV6,2024,48434.59871874944,7008.0,Like New,Phnom Penh,White,77.4,484,168,7.1,Private,GB-T/CCS2,18-02-2023,Synthetic (New Formula)
Kia,Kia EV5,2022,41886.08450553197,50820.0,Like New,Phnom Penh,Silver,64.2/88,400-600,160,7.5,Authorized Dealer,GB-T/CCS2,13-08-2024,Synthetic (New Formula)
Deepal,Deepal L07,2025,51751.53625511544,50820.0,Excellent,Siem Reap,Blue,31.6,200 PHEV,160,7.3,Dealer,GB-T/CCS2,25-09-2024,Synthetic (New Formula)
MG,MG 5,2023,23619.26923604627,12780.0,Like New,Siem Reap,Silver,61.1,403,130,7.7,Dealer,GB-T/CCS2,22-10-2024,Synthetic (New Formula)
Xiaomi,Xiaomi SU7,2021,81735.48598565623,0.0,New,Phnom Penh,Silver,73.6/94.3,495-830,220,5.3,Authorized Dealer,GB-T/CCS2,3/1/2025,Synthetic (New Formula)
VinFast,VinFast VF 9,2023,72706.99405082878,38991.0,Like New,Battambang,Black,123,438,300,6.5,Private,GB-T/CCS2,25-08-2025,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2025,42622.20621806691,18080.0,Excellent,Phnom Penh,Blue,58/72.6,354-488,125,7.4,Authorized Dealer,GB-T/CCS2,9/2/2025,Synthetic (New Formula)
AION,AION V,2024,40289.9281295945,11664.0,Like New,Phnom Penh,Silver,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,20-03-2024,Synthetic (New Formula)
VinFast,VinFast VF 8,2023,43091.5852197639,8720.0,Good,Siem Reap,White,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,21-07-2022,Synthetic (New Formula)
MG,MG 4 EV,2022,27435.955883835522,20482.0,Fair,Phnom Penh,Grey,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,26-01-2024,Synthetic (New Formula)
MG,MG 4 EV,2024,26778.676910363964,45068.0,Excellent,Siem Reap,Silver,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,15-07-2023,Synthetic (New Formula)
Toyota,Toyota bZ4X,2025,46429.834960245316,6888.0,New,Preah Vihear,Blue,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,11/12/2022,Synthetic (New Formula)
VinFast,VinFast VF 6,2024,26508.412691811325,42441.0,Good,Battambang,Silver,59.6,399,110,,Authorized Dealer,GB-T/CCS2,10/9/2022,Synthetic (New Formula)
BYD,BYD Atto 3,2025,28531.360893425506,8071.0,Fair,Phnom Penh,White,50/60.5,340-420,150,7.3,Private,GB-T/CCS2,9/11/2024,Synthetic (New Formula)
Zeekr,Zeekr X,2024,53022.091823407296,0.0,Like New,Kampot,White,66,440,200,5.6,Private,GB-T/CCS2,25-09-2023,Synthetic (New Formula)
BYD,BYD Tang,2022,72456.33831698893,20832.0,Like New,Preah Vihear,Black,86.4/108.8,400-530,180,4.6,Private,GB-T/CCS2,21-05-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2024,44631.957445893306,0.0,New,Phnom Penh,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,1/2/2023,Synthetic (New Formula)
XPeng,XPeng G6,2025,44396.375541347996,14170.0,Good,Phnom Penh,Grey,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,21-06-2023,Synthetic (New Formula)
Mercedes,Mercedes EQB,2024,61941.15980680071,2054.0,New,Phnom Penh,White,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,11/12/2021,Synthetic (New Formula)
BYD,BYD Seagull,2024,22171.49671172182,38988.0,New,Battambang,Black,30/38.88,190-305,55,,Authorized Dealer,GB-T/CCS2,14-01-2025,Synthetic (New Formula)
BYD,BYD Han,2024,58787.57773451837,39970.0,Like New,Phnom Penh,White,76.9/85.4,500-610,180,3.9,Dealer,GB-T/CCS2,11/8/2025,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2025,12973.582312236838,33694.0,Good,Phnom Penh,Blue,41.3,403,80,,Dealer,GB-T/CCS2,19-08-2023,Synthetic (New Formula)
VinFast,VinFast VF 6,2022,29076.328491547705,16338.0,New,Kratie,Red,59.6,399,110,,Authorized Dealer,GB-T/CCS2,28-06-2022,Synthetic (New Formula)
Zeekr,Zeekr 007,2024,68134.7961081233,28730.0,Like New,Preah Vihear,Grey,75/100,530-688,310,3.5,Authorized Dealer,GB-T/CCS2,16-09-2024,Synthetic (New Formula)
Zeekr,Zeekr 001,2025,72007.59187852767,26505.0,New,Battambang,Silver,86/100,560-620,200,3.3,Authorized Dealer,GB-T/CCS2,18-03-2022,Synthetic (New Formula)
AITO,AITO M5,2023,46272.01240693363,10270.0,Like New,Phnom Penh,Red,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,13-01-2024,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2025,26524.49751361456,15521.0,Like New,Sihanoukville,Orange,42.8,301,120,8.5,Dealer,GB-T/CCS2,13-12-2024,Synthetic (New Formula)
BYD,BYD Tang,2022,69636.74410328495,20957.0,New,Phnom Penh,White,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,22-01-2025,Synthetic (New Formula)
Tesla,Tesla Model 3,2025,49269.854921844366,26280.0,Good,Phnom Penh,Black,60/82,430-576,208,6.1,Dealer,GB-T/CCS2,5/5/2021,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2022,47497.918370209474,26505.0,Like New,Kep,Black,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,13-09-2025,Synthetic (New Formula)
XPeng,XPeng G6,2024,45635.329674785164,16928.0,Like New,Phnom Penh,Black,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,10/7/2024,Synthetic (New Formula)
XPeng,XPeng G6,2025,51294.099419648155,55016.0,Like New,Battambang,Green,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,15-12-2023,Synthetic (New Formula)
MG,MG 4 EV,2024,25675.337915552056,20482.0,Excellent,Phnom Penh,Grey,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,28-08-2022,Synthetic (New Formula)
VinFast,VinFast VF 8,2023,43984.43892398212,23914.0,Like New,Kratie,White,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,12/5/2023,Synthetic (New Formula)
BYD,BYD Sealion 5,2023,29542.864509622836,56784.0,Good,Siem Reap,Silver,60/72.8,410-520,150,7.5,Dealer,GB-T/CCS2,7/1/2025,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2023,44553.805002284156,35178.0,Like New,Phnom Penh,Black,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,13-05-2024,Synthetic (New Formula)
BYD,BYD M9,2024,64330.22945845534,35178.0,Excellent,Phnom Penh,Silver,52,180 PHEV,180,,Private,GB-T/CCS2,16-01-2025,Synthetic (New Formula)
Nissan,Nissan Leaf,2024,27642.635272695992,6880.0,New,Phnom Penh,Grey,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,12/2/2024,Synthetic (New Formula)
VinFast,VinFast VF 6,2025,26187.03916696676,27638.0,Fair,Siem Reap,Grey,59.6,399,110,,Private,GB-T/CCS2,3/2/2025,Synthetic (New Formula)
MG,MG ZS EV,2023,29973.640797676664,33139.0,Excellent,Preah Vihear,Silver,50.3/72.6,320-440,115,8.6,Authorized Dealer,GB-T/CCS2,16-09-2025,Synthetic (New Formula)
Avatr,Avatr 07,2025,41922.610624646055,12480.0,New,Phnom Penh,Blue,62.2/100.5,420-621,190,4.9,Private,GB-T/CCS2,26-03-2024,Synthetic (New Formula)
BYD,BYD Seagull,2025,19354.690513807847,24248.0,Excellent,Phnom Penh,White,30/38.88,190-305,55,,Dealer,GB-T/CCS2,11/5/2024,Synthetic (New Formula)
Zeekr,Zeekr 001,2025,71641.46049151135,18202.0,Fair,Kampot,White,86/100,560-620,200,3.3,Dealer,GB-T/CCS2,15-02-2025,Synthetic (New Formula)
BYD,BYD Dolphin,2023,25355.089059974176,15195.0,Like New,Phnom Penh,Cosmos Black,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,28-07-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2025,49496.86420653763,26600.0,Excellent,Kampot,Grey,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,27-04-2024,Synthetic (New Formula)
VinFast,VinFast VF 9,2024,63808.27963644097,1112.0,Excellent,Phnom Penh,Silver,123,438,300,6.5,Private,GB-T/CCS2,16-11-2023,Synthetic (New Formula)
Avatr,Avatr 11,2021,77158.89371162318,29636.0,New,Battambang,White,90/116,555-700,230,3.9,Private,GB-T/CCS2,18-05-2022,Synthetic (New Formula)
BYD,BYD Sealion 6,2023,47825.59031913923,27347.0,Fair,Phnom Penh,White,18.3,80-100 PHEV,145,8.5,Dealer,GB-T/CCS2,10/6/2023,Synthetic (New Formula)
MG,MG 4 EV,2022,27328.136030347752,22097.0,Excellent,Phnom Penh,White,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,27-07-2024,Synthetic (New Formula)
MG,MG ZS EV,2025,26616.695660150544,1185.0,New,Phnom Penh,White,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,10/1/2025,Synthetic (New Formula)
XPeng,XPeng G6,2023,47346.516589792576,14170.0,New,Kep,White,66/87.5,435-570,190,6.2,Dealer,GB-T/CCS2,15-04-2025,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2024,55114.636972143424,31563.0,New,Phnom Penh,White,53/77.4,429-614,151,8.1,Dealer,GB-T/CCS2,12/7/2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2024,50212.929810823094,40330.0,New,Kampong Cham,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,5/8/2021,Synthetic (New Formula)
Toyota,Toyota bZ4X,2025,43268.29506902947,2006.0,Good,Phnom Penh,Pearl White,71.4,500,150,7.1,Private,GB-T/CCS2,28-04-2024,Synthetic (New Formula)
BYD,BYD Sealion 7,2021,45682.14456590639,34340.0,Good,Phnom Penh,Silver,71.8/91.3,460-567,230,4.5,Dealer,GB-T/CCS2,11/5/2025,Synthetic (New Formula)
AITO,AITO M7,2022,61886.89521997211,7569.0,Excellent,Siem Reap,Grey,40,200 PHEV,330,4.8,Private,GB-T/CCS2,10/10/2023,Synthetic (New Formula)
Avatr,Avatr 11,2025,73151.10087967508,47025.0,New,Kampong Cham,Grey,90/116,555-700,230,3.9,Dealer,GB-T/CCS2,13-05-2025,Synthetic (New Formula)
BYD,BYD Sealion 6,2024,44950.171076087165,13258.0,Excellent,Kratie,Silver,18.3,80-100 PHEV,145,8.5,Private,GB-T/CCS2,13-05-2025,Synthetic (New Formula)
Avatr,Avatr 12,2024,62821.10151562959,8224.0,New,Kampong Cham,White,94.5,650,230,3.9,Dealer,GB-T/CCS2,3/4/2025,Synthetic (New Formula)
AITO,AITO M7,2022,60597.605939565896,13454.0,New,Phnom Penh,Black,40,200 PHEV,330,4.8,Dealer,GB-T/CCS2,19-11-2022,Synthetic (New Formula)
VinFast,VinFast VF 8,2022,44439.209327014556,20957.0,New,Phnom Penh,Red,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,22-10-2022,Synthetic (New Formula)
MG,MG ZS EV,2025,28602.150417950736,24771.0,Good,Siem Reap,White,50.3/72.6,320-440,115,8.6,Dealer,GB-T/CCS2,24-01-2023,Synthetic (New Formula)
Nissan,Nissan Leaf,2023,28557.633182583155,8400.0,Like New,Phnom Penh,White,40/62,240-385,110,7.0,Dealer,GB-T/CCS2,24-11-2024,Synthetic (New Formula)
AION,AION V,2020,43383.62843648776,24465.0,New,Phnom Penh,Blue,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,24-05-2025,Synthetic (New Formula)
XPeng,XPeng G6,2024,43830.694481845305,14008.0,Excellent,Phnom Penh,Black,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,10/7/2024,Synthetic (New Formula)
AION,AION V,2023,40941.69392474958,22097.0,Good,Phnom Penh,Black,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,28-12-2024,Synthetic (New Formula)
AITO,AITO M7,2022,60047.261433745414,0.0,Excellent,Phnom Penh,White,40,200 PHEV,330,4.8,Private,GB-T/CCS2,7/1/2024,Synthetic (New Formula)
Nissan,Nissan Leaf,2025,28951.508614694067,27175.0,New,Phnom Penh,Green,40/62,240-385,110,7.0,Private,GB-T/CCS2,12/2/2023,Synthetic (New Formula)
BMW,BMW iX1,2025,64442.88684684543,37653.0,New,Kampong Cham,Green,64.7,417,150,8.6,Private,GB-T/CCS2,15-11-2023,Synthetic (New Formula)
AION,AION V,2024,40121.814120439245,7288.0,Like New,Phnom Penh,Black,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,28-12-2024,Synthetic (New Formula)
BYD,BYD Atto 2,2024,25271.629447480256,18972.0,New,Sihanoukville,Grey,45.1,312-401,130,7.9,Dealer,GB-T/CCS2,25-12-2024,Synthetic (New Formula)
Denza,Denza D9,2021,88994.4300173729,8973.0,Like New,Phnom Penh,Black,103,600,230,6.9,Private,GB-T/CCS2,9/4/2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2024,48302.598946811326,4212.0,Like New,Kampot,Grey,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,27-04-2024,Synthetic (New Formula)
BYD,BYD Han,2021,62476.32327046265,12950.0,Like New,Kampot,White,76.9/85.4,500-610,180,3.9,Private,GB-T/CCS2,26-12-2020,Synthetic (New Formula)
Kia,Kia EV6,2024,44762.18777395476,4670.0,Good,Phnom Penh,Silver,77.4,484,168,7.1,Dealer,GB-T/CCS2,14-12-2022,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2022,54638.33562149683,8030.0,Like New,Sihanoukville,Grey,53/77.4,429-614,151,8.1,Dealer,GB-T/CCS2,26-11-2022,Synthetic (New Formula)
VinFast,VinFast VF 9,2025,68253.8462140534,26505.0,Fair,Phnom Penh,Orange,123,438,300,6.5,Authorized Dealer,GB-T/CCS2,24-08-2023,Synthetic (New Formula)
Toyota,Toyota bZ4X,2025,47121.87253589407,30996.0,New,Battambang,Silver,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,24-05-2023,Synthetic (New Formula)
BYD,BYD Seal,2025,38614.865513561366,39865.0,Excellent,Phnom Penh,Blue,61.4/82.5,400-550,150,3.8,Private,GB-T/CCS2,20-12-2022,Synthetic (New Formula)
BYD,BYD Atto 2,2023,26159.848185212824,23914.0,New,Sihanoukville,Grey,45.1,312-401,130,7.9,Dealer,GB-T/CCS2,8/2/2025,Synthetic (New Formula)
Tesla,Tesla Model 3,2025,44688.11453925922,0.0,New,Phnom Penh,Silver,60/82,430-576,208,6.1,Private,GB-T/CCS2,22-06-2020,Synthetic (New Formula)
Kia,Kia EV6,2024,50230.901101533935,9900.0,Like New,Phnom Penh,Black,77.4,484,168,7.1,Authorized Dealer,GB-T/CCS2,3/4/2024,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2023,51783.87920704489,3468.0,Good,Phnom Penh,Black,53/77.4,429-614,151,8.1,Dealer,GB-T/CCS2,10/11/2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2023,48186.00082871477,29400.0,New,Phnom Penh,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,1/2/2023,Synthetic (New Formula)
VinFast,VinFast VF 6,2022,27644.044705391934,5525.0,Excellent,Phnom Penh,Grey,59.6,399,110,,Private,GB-T/CCS2,16-09-2023,Synthetic (New Formula)
Mercedes,Mercedes EQB,2024,62960.74175199927,5950.0,Good,Siem Reap,Black,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,18-04-2023,Synthetic (New Formula)
Zeekr,Zeekr 001,2024,70651.80660498611,2180.0,New,Phnom Penh,White,86/100,560-620,200,3.3,Private,GB-T/CCS2,7/6/2022,Synthetic (New Formula)
Mercedes,Mercedes EQB,2025,66353.87244784668,43440.0,Like New,Phnom Penh,Red,66.5,419,168,8.0,Dealer,GB-T/CCS2,16-08-2022,Synthetic (New Formula)
BYD,BYD Tang,2023,64165.0976883036,13392.0,Like New,Phnom Penh,Grey,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,13-02-2023,Synthetic (New Formula)
Kia,Kia EV6,2023,51016.46864283188,26130.0,Like New,Phnom Penh,Blue,77.4,484,168,7.1,Dealer,GB-T/CCS2,14-05-2023,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2023,26468.97937618839,10030.0,New,Phnom Penh,Black,42.8,301,120,8.5,Dealer,GB-T/CCS2,5/4/2024,Synthetic (New Formula)
VinFast,VinFast VF 8,2025,43365.057779586234,41940.0,Excellent,Phnom Penh,White,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,17-04-2024,Synthetic (New Formula)
BYD,BYD Han,2022,63318.04232622737,18649.0,New,Phnom Penh,Grey,76.9/85.4,500-610,180,3.9,Authorized Dealer,GB-T/CCS2,10/9/2023,Synthetic (New Formula)
XPeng,XPeng G6,2023,48449.4323221496,33136.0,Like New,Siem Reap,Silver,66/87.5,435-570,190,6.2,Private,GB-T/CCS2,11/10/2024,Synthetic (New Formula)
Deepal,Deepal L07,2025,51503.569672921985,43512.0,Fair,Kampot,Green,31.6,200 PHEV,160,7.3,Private,GB-T/CCS2,3/3/2024,Synthetic (New Formula)
AION,AION V,2024,41885.83953867699,30740.0,Like New,Phnom Penh,Blue,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,24-05-2025,Synthetic (New Formula)
Tesla,Tesla Model 3,2024,48251.31937954111,25164.0,New,Siem Reap,Green,60/82,430-576,208,6.1,Dealer,GB-T/CCS2,21-02-2021,Synthetic (New Formula)
